0.000277605  -0.000865693 -0.00133913  0.00196932 -0.00368838 -0.017196
0.000277605  -0.000865693 -0.00133913  0.00196932 -0.00368838 -0.017196
0.000277605  -0.000865693 -0.00133913  0.00196932 -0.00368838 -0.017196
0.000277605  -0.000865693 -0.00133913  0.00196932 -0.00368838 -0.017196
0.000277605  -0.000865693 -0.00133913  0.00196932 -0.00368838 -0.017196
0.000287916  -0.000883799 -0.00142611  0.00216447 -0.00355834 -0.0178198
0.000287916  -0.000883799 -0.00142611  0.00216447 -0.00355834 -0.0178198
0.000287916  -0.000883799 -0.00142611  0.00216447 -0.00355834 -0.0178198
0.000299075  -0.000901211 -0.00151697  0.00232235 -0.00342421 -0.0185569
0.000299075  -0.000901211 -0.00151697  0.00232235 -0.00342421 -0.0185569
0.000299075  -0.000901211 -0.00151697  0.00232235 -0.00342421 -0.0185569
0.000299075  -0.000901211 -0.00151697  0.00232235 -0.00342421 -0.0185569
0.000554507  -0.0004949 -0.00103915  0.00303658 0.0002156 -0.0163383
0.000554507  -0.0004949 -0.00103915  0.00303658 0.0002156 -0.0163383
0.000554507  -0.0004949 -0.00103915  0.00303658 0.0002156 -0.0163383
0.000554507  -0.0004949 -0.00103915  0.00303658 0.0002156 -0.0163383
0.000554507  -0.0004949 -0.00103915  0.00303658 0.0002156 -0.0163383
0.000570941  -0.000492981 -0.00111796  0.00308126 0.00046485 -0.0171379
0.000570941  -0.000492981 -0.00111796  0.00308126 0.00046485 -0.0171379
0.000570941  -0.000492981 -0.00111796  0.00308126 0.00046485 -0.0171379
0.000570941  -0.000492981 -0.00111796  0.00308126 0.00046485 -0.0171379
0.000570941  -0.000492981 -0.00111796  0.00308126 0.00046485 -0.0171379
0.000586674  -0.000490308 -0.00120054  0.00306655 0.00070906 -0.0179203
0.000586674  -0.000490308 -0.00120054  0.00306655 0.00070906 -0.0179203
0.000600558  -0.000486802 -0.00128825  0.0029483 0.000951391 -0.0187596
0.000600558  -0.000486802 -0.00128825  0.0029483 0.000951391 -0.0187596
0.000600558  -0.000486802 -0.00128825  0.0029483 0.000951391 -0.0187596
0.000600558  -0.000486802 -0.00128825  0.0029483 0.000951391 -0.0187596
0.000600558  -0.000486802 -0.00128825  0.0029483 0.000951391 -0.0187596
0.000618264  -0.00048952 -0.0013826  0.0034554 0.000344417 -0.0197097
0.000618264  -0.00048952 -0.0013826  0.0034554 0.000344417 -0.0197097
0.000618264  -0.00048952 -0.0013826  0.0034554 0.000344417 -0.0197097
0.000618264  -0.00048952 -0.0013826  0.0034554 0.000344417 -0.0197097
0.000618264  -0.00048952 -0.0013826  0.0034554 0.000344417 -0.0197097
0.000634577  -0.00048802 -0.00148404  0.00353634 0.000313855 -0.0207716
0.000634577  -0.00048802 -0.00148404  0.00353634 0.000313855 -0.0207716
0.000634577  -0.00048802 -0.00148404  0.00353634 0.000313855 -0.0207716
0.000634577  -0.00048802 -0.00148404  0.00353634 0.000313855 -0.0207716
0.000717195  -0.000481257 -0.00106118  0.00389379 -0.000392859 -0.0165208
0.000717195  -0.000481257 -0.00106118  0.00389379 -0.000392859 -0.0165208
0.000717195  -0.000481257 -0.00106118  0.00389379 -0.000392859 -0.0165208
0.000744658  -0.000485648 -0.00114905  0.00456403 -0.000722478 -0.0176497
0.000744658  -0.000485648 -0.00114905  0.00456403 -0.000722478 -0.0176497
0.000744658  -0.000485648 -0.00114905  0.00456403 -0.000722478 -0.0176497
0.000744658  -0.000485648 -0.00114905  0.00456403 -0.000722478 -0.0176497
0.000744658  -0.000485648 -0.00114905  0.00456403 -0.000722478 -0.0176497
0.000766386  -0.000489305 -0.00123818  0.00449641 -0.000856911 -0.0184107
0.000766386  -0.000489305 -0.00123818  0.00449641 -0.000856911 -0.0184107
0.000766386  -0.000489305 -0.00123818  0.00449641 -0.000856911 -0.0184107
0.000766386  -0.000489305 -0.00123818  0.00449641 -0.000856911 -0.0184107
0.000766386  -0.000489305 -0.00123818  0.00449641 -0.000856911 -0.0184107
0.000787106  -0.000493714 -0.00133091  0.00437663 -0.000992824 -0.0191587
0.000787106  -0.000493714 -0.00133091  0.00437663 -0.000992824 -0.0191587
0.000803579  -0.000500842 -0.00142175  0.00372525 -0.00140547 -0.019092
0.000803579  -0.000500842 -0.00142175  0.00372525 -0.00140547 -0.019092
